Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"277244111621",4 CCTV IN OPERATION IN THIS VEHICLE STICKERS/SIGNS,,,"20","FIXED_PRICE","GBP",3.23,,,3.23,"0","1","0","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Other Car Parts & Accessories","9886","","36347","New","","","","","","UK","","",""
"277244111623",NO SMOKING NO NAKED LIGHTS WARNING SAFETY STICKERS X 2 ,,,"8","FIXED_PRICE","GBP",3.23,,,3.23,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Other Public Safety Equipment","36347","","","New","","","","","","UK","","Does not apply",""
"277244111624",2 X SHEEP WARNING STICKERS SIGNS,,,"19","FIXED_PRICE","GBP",3.7,,,3.7,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Other Public Safety Equipment","36347","","","New","","","","","","UK","","Does not apply",""
"277244111625",2 X POINTER DOG SILHOUETTE STICKERS FOR GLASS/WINDOWS PLACE INSIDE VIEW OUTSIDE,,,"22","FIXED_PRICE","GBP",5.5,,,5.5,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Badges, Decals & Emblems","72211","","","New","","","","","","UK","","Does not apply",""
"277244111628",2 X WARNING SHARP ELEMENTS STICKERS SIGNS ,,,"23","FIXED_PRICE","GBP",3.7,,,3.7,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Other Public Safety Equipment","36347","","","New","","","","","","UK","","Does not apply",""
"277244111629",2 X DO NOT LIGHT FIRES STICKERS SIGNS,,,"48","FIXED_PRICE","GBP",3.85,,,3.85,"1","0","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Other Public Safety Equipment","36347","","","New","","","","","","UK","","Does not apply",""
"277244111630",6 X CLOSE THESE DOORS AT NIGHT STICKERS SIGNS 85 MM,,,"77","FIXED_PRICE","GBP",3.45,,,3.45,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Other Public Safety Equipment","36347","","","New","","","","","","UK","","Does not apply",""
"277244111631",6 X FIRE DOOR KEEP CLOSED STICKERS 85 MM,,,"75","FIXED_PRICE","GBP",3.45,,,3.45,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Other Public Safety Equipment","36347","","","New","","","","","","UK","","Does not apply",""
"277244111633",4 X AUTOMATIC DOOR STICKERS SIGNS,,,"32","FIXED_PRICE","GBP",5.3,,,5.3,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Other Public Safety Equipment","36347","","","New","","","","","","UK","","",""
"277244111634",1 X VEHICLE RECOVERY STICKER SIGN LARGE,,,"30","FIXED_PRICE","GBP",5.4,,,5.4,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Badges, Decals & Emblems","72211","","","New","","","","","","UK","","",""
"277244111635",CAUTION RABBIT HUNTING STICKER SIGN CHOOSE SIZE STANDARD OR GLASS STICKER,Type of sticker=Standard sticker;Inside glass outside viewing|Size=72 mm x 100 mm;106 mm x 145 mm;150 mm x 204 mm;200 mm x 272 mm;250 mm x 340 mm;300 mm x 407 mm,,"172","FIXED_PRICE","GBP",2.2,,,2.2,"0","","","Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Safety Signs & Placards","183898","","","New","","","","","","UK","","Does not apply",""
"277244111635",CAUTION RABBIT HUNTING STICKER SIGN CHOOSE SIZE STANDARD OR GLASS STICKER,Type of sticker=Standard sticker|Size=106 mm x 145 mm,,"22","FIXED_PRICE","GBP",2.6,,,,"0",,,"Jun-30-25 16:12:09 PDT","Mar-31-26 16:12:09 PDT","Safety Signs & Placards","183898","","","New",,,,,"","UK","","Does not apply",""
